Date_reported,New_cases
16-10-2020,63371
17-10-2020,62212
18-10-2020,61871
19-10-2020,55722
20-10-2020,46790
21-10-2020,54044
22-10-2020,55839
23-10-2020,54366
24-10-2020,53370
25-10-2020,50129
26-10-2020,45148
27-10-2020,36470
28-10-2020,43893
29-10-2020,49881
30-10-2020,48648
31-10-2020,48268
01-11-2020,46963
02-11-2020,45231
03-11-2020,38310
04-11-2020,46253
05-11-2020,50210
06-11-2020,47638
07-11-2020,50356
08-11-2020,45674
09-11-2020,45903
10-11-2020,38073
11-11-2020,44281
12-11-2020,47905
13-11-2020,44879
14-11-2020,44684
15-11-2020,41100
16-11-2020,30548
17-11-2020,29163
18-11-2020,38617
19-11-2020,45576
20-11-2020,45882
21-11-2020,46232
22-11-2020,45209
23-11-2020,44059
24-11-2020,37975
25-11-2020,44376
26-11-2020,44489
27-11-2020,43082
28-11-2020,41322
29-11-2020,41810
30-11-2020,38772
01-12-2020,31118
02-12-2020,36604
03-12-2020,35551
04-12-2020,36595
05-12-2020,36652
06-12-2020,36011
07-12-2020,32981
08-12-2020,26567
09-12-2020,32080
10-12-2020,31521
11-12-2020,29398
12-12-2020,30006
13-12-2020,30254
14-12-2020,27071
15-12-2020,22065
16-12-2020,26382
17-12-2020,24010
18-12-2020,22890
19-12-2020,25152
20-12-2020,26624
21-12-2020,24337
22-12-2020,19556
23-12-2020,23950
24-12-2020,24712
25-12-2020,23067
26-12-2020,22273
27-12-2020,18732
28-12-2020,20021
29-12-2020,16432
30-12-2020,20549
31-12-2020,21822
01-01-2021,20035
02-01-2021,19079
03-01-2021,18177
04-01-2021,16504
05-01-2021,16375
06-01-2021,18088
07-01-2021,20346
08-01-2021,18139
09-01-2021,18222
10-01-2021,18645
11-01-2021,16311
12-01-2021,12584
13-01-2021,15968
14-01-2021,16946
15-01-2021,15590
16-01-2021,15158
17-01-2021,15144
18-01-2021,13788
19-01-2021,10064
20-01-2021,13823
21-01-2021,15223
22-01-2021,14545
23-01-2021,14256
24-01-2021,14849
25-01-2021,13203
26-01-2021,9102
27-01-2021,12689
28-01-2021,11666
29-01-2021,18855
30-01-2021,13083
31-01-2021,13052
01-02-2021,11427
02-02-2021,8635
03-02-2021,11039
04-02-2021,12899
05-02-2021,12408
06-02-2021,11713
07-02-2021,12059
08-02-2021,11831
09-02-2021,9110
10-02-2021,11067
11-02-2021,12923
12-02-2021,9309
13-02-2021,12143
14-02-2021,12194
15-02-2021,11649
16-02-2021,9121
17-02-2021,11610
18-02-2021,12881
19-02-2021,13193
20-02-2021,13993
21-02-2021,14264
22-02-2021,14199
23-02-2021,10584
24-02-2021,13742
25-02-2021,16738
26-02-2021,16577
27-02-2021,16488
28-02-2021,16752
01-03-2021,15510
02-03-2021,12286
03-03-2021,14989
04-03-2021,17407
05-03-2021,16838
06-03-2021,18327
07-03-2021,18711
08-03-2021,18599
09-03-2021,15388
10-03-2021,17921
11-03-2021,22854
12-03-2021,23285
13-03-2021,24882
14-03-2021,25320
15-03-2021,26291
16-03-2021,24492
17-03-2021,28903
18-03-2021,35871
19-03-2021,39726
20-03-2021,40953
21-03-2021,43846
22-03-2021,46951
23-03-2021,40715
24-03-2021,47262
25-03-2021,53476
26-03-2021,59118
27-03-2021,62258
28-03-2021,62714
29-03-2021,68020
30-03-2021,56211
31-03-2021,53480
01-04-2021,72330
02-04-2021,81466
03-04-2021,89129
04-04-2021,93249
05-04-2021,103558
06-04-2021,96982
07-04-2021,115736
08-04-2021,126789
09-04-2021,131968
10-04-2021,145384
11-04-2021,152879
12-04-2021,168912
13-04-2021,161736
14-04-2021,184372
15-04-2021,200739
16-04-2021,217353
17-04-2021,234692
18-04-2021,261500
19-04-2021,273810
20-04-2021,259170
21-04-2021,295041
22-04-2021,314835
23-04-2021,332730
24-04-2021,346786
25-04-2021,349691
26-04-2021,352991
27-04-2021,323144
28-04-2021,360960
29-04-2021,379257
30-04-2021,386452
01-05-2021,401993
02-05-2021,392488
03-05-2021,368147
04-05-2021,357229
05-05-2021,382315
06-05-2021,412262
07-05-2021,414188
08-05-2021,401078
09-05-2021,403738
10-05-2021,366161
11-05-2021,329942
12-05-2021,348421
13-05-2021,362727
14-05-2021,343144
15-05-2021,326098
16-05-2021,311170
17-05-2021,281386
18-05-2021,263533
19-05-2021,267334
20-05-2021,276110
21-05-2021,259551
22-05-2021,257299
23-05-2021,240842
24-05-2021,222315
25-05-2021,196427
26-05-2021,208921
27-05-2021,211298
28-05-2021,186364
29-05-2021,173790
30-05-2021,165553
31-05-2021,152734
01-06-2021,127510
02-06-2021,132788
03-06-2021,134154
04-06-2021,132364
05-06-2021,120529
06-06-2021,114460
07-06-2021,100636
08-06-2021,86498
09-06-2021,92596
10-06-2021,94052
11-06-2021,91702
12-06-2021,84332
13-06-2021,80834
14-06-2021,70421
15-06-2021,60471
16-06-2021,62224
17-06-2021,67208
18-06-2021,62480
19-06-2021,60753
20-06-2021,58419
21-06-2021,53256
22-06-2021,42640
23-06-2021,50848
24-06-2021,54069
25-06-2021,51667
26-06-2021,48698
27-06-2021,50040
28-06-2021,46148
29-06-2021,37566
30-06-2021,45951
01-07-2021,48786
02-07-2021,46617
03-07-2021,44111
04-07-2021,43071
05-07-2021,39796
06-07-2021,34703
07-07-2021,43733
08-07-2021,45892
09-07-2021,43393
10-07-2021,42766
11-07-2021,41506
12-07-2021,37154
13-07-2021,32906
14-07-2021,38792
15-07-2021,41806
16-07-2021,38949
17-07-2021,38079
18-07-2021,41157
19-07-2021,38164
20-07-2021,30093
21-07-2021,42015
22-07-2021,41383
23-07-2021,35342
24-07-2021,39097
25-07-2021,39742
26-07-2021,39361
27-07-2021,29689
28-07-2021,43654
29-07-2021,43509
30-07-2021,44230
31-07-2021,41649
01-08-2021,41831
02-08-2021,40134
03-08-2021,30549
04-08-2021,42625
05-08-2021,42982
06-08-2021,44643
07-08-2021,38628
08-08-2021,39070
09-08-2021,35499
10-08-2021,28204
11-08-2021,38353
12-08-2021,41195
13-08-2021,40120
14-08-2021,38667
15-08-2021,36083
16-08-2021,32937
17-08-2021,25166
18-08-2021,35178
19-08-2021,36401
20-08-2021,36571
21-08-2021,34457
22-08-2021,30948
23-08-2021,25072
24-08-2021,25467
25-08-2021,37593
26-08-2021,46164
27-08-2021,44658
28-08-2021,46759
29-08-2021,45083
30-08-2021,42909
31-08-2021,30941
01-09-2021,41965
02-09-2021,47092
03-09-2021,45352
04-09-2021,42618
05-09-2021,42766
06-09-2021,38948
07-09-2021,31222
08-09-2021,37875
09-09-2021,43263
10-09-2021,34973
11-09-2021,33376
12-09-2021,28591
13-09-2021,27254
14-09-2021,25404
15-09-2021,27176
16-09-2021,30570
17-09-2021,34403
18-09-2021,35662
19-09-2021,30773
20-09-2021,30256
21-09-2021,26115
22-09-2021,26964
23-09-2021,31923
24-09-2021,31382
25-09-2021,29616
26-09-2021,28326
27-09-2021,26041
28-09-2021,18795
29-09-2021,18870
30-09-2021,23529
01-10-2021,26727
02-10-2021,24354
03-10-2021,22842
04-10-2021,20799
05-10-2021,18346
06-10-2021,18833
07-10-2021,22431
08-10-2021,21257
09-10-2021,19740
10-10-2021,18166
11-10-2021,18132
12-10-2021,14313
13-10-2021,15823
14-10-2021,18987
15-10-2021,16862
16-10-2021,15981
17-10-2021,14146
18-10-2021,13596
19-10-2021,13058
20-10-2021,14623
21-10-2021,18454
22-10-2021,15786
23-10-2021,16326
24-10-2021,15906
25-10-2021,14306
26-10-2021,12428
27-10-2021,13451
28-10-2021,16156
29-10-2021,14348
30-10-2021,14313
31-10-2021,12830
01-11-2021,12514
02-11-2021,10423
03-11-2021,11903
04-11-2021,12885
05-11-2021,12729
