Date_reported,New_cases
16-11-2021,8865
17-11-2021,10197
18-11-2021,11919
19-11-2021,11106
20-11-2021,10302
21-11-2021,10488
22-11-2021,8488
23-11-2021,7579
24-11-2021,9283
25-11-2021,9119
26-11-2021,10549
27-11-2021,8318
28-11-2021,8774
29-11-2021,8309
30-11-2021,6990
01-12-2021,8954
02-12-2021,9765
03-12-2021,9216
04-12-2021,8603
05-12-2021,8895
06-12-2021,8306
07-12-2021,6822
08-12-2021,8439
09-12-2021,9419
10-12-2021,8503
11-12-2021,7992
12-12-2021,7774
13-12-2021,7350
14-12-2021,5784
15-12-2021,6984
16-12-2021,7974
17-12-2021,7447
18-12-2021,7145
19-12-2021,7081
20-12-2021,6563
21-12-2021,5326
22-12-2021,6317
23-12-2021,7495
24-12-2021,6650
25-12-2021,7189
26-12-2021,6987
27-12-2021,6531
28-12-2021,6358
29-12-2021,9195
30-12-2021,13154
31-12-2021,16764
01-01-2022,22775
02-01-2022,27553
03-01-2022,33750
04-01-2022,37379
05-01-2022,58097
06-01-2022,90928
07-01-2022,117100
08-01-2022,141986
09-01-2022,159632
10-01-2022,179723
11-01-2022,168063
12-01-2022,194720
13-01-2022,247417
14-01-2022,264202
15-01-2022,268833
16-01-2022,271202
17-01-2022,258089
18-01-2022,238018
19-01-2022,282970
20-01-2022,317532
21-01-2022,347254
22-01-2022,337704
23-01-2022,333533
24-01-2022,306064
25-01-2022,255874
26-01-2022,285914
27-01-2022,286384
28-01-2022,251209
29-01-2022,235532
30-01-2022,234281
31-01-2022,209918
01-02-2022,167059
02-02-2022,161386
03-02-2022,172433
04-02-2022,149394
05-02-2022,127952
06-02-2022,107474
07-02-2022,83876
08-02-2022,67597
09-02-2022,71365
10-02-2022,67084
11-02-2022,58077
12-02-2022,50407
13-02-2022,44877
14-02-2022,34113
15-02-2022,27409
16-02-2022,30615
17-02-2022,30757
18-02-2022,25920
19-02-2022,22270
20-02-2022,19968
21-02-2022,16051
22-02-2022,13405
23-02-2022,15102
24-02-2022,14148
25-02-2022,13166
26-02-2022,11499
27-02-2022,10273
28-02-2022,8013
